iso3,Total_Enslaved
AGO,3607020
NGA,2021859
GHA,1614793
ETH,1447455
SDN,863962
MLI,841697
COD,766515
MOZ,625862
TZA,534826
TCD,528862
BEN,456583
SEN,376926
GIN,350149
TGO,289634
GNB,180752
BFA,167201
MRT,164434
MWI,125431
MDG,125275
COG,94663
KEN,86448
SLE,69607
CMR,66719
DZA,61835
CIV,52646
SOM,32377
ZMB,27958
GAB,27403
GMB,21731
NER,19912
LBY,8848
LBR,6790
UGA,4554
ZAF,2031
CAF,2010
EGY,1492
ZWE,1089
NAM,191
BDI,87
GNQ,11
DJI,5
BWA,0
CPV,0
COM,0
LSO,0
MUS,0
MAR,0
RWA,0
STP,0
SWZ,0
SYC,0
TUN,0
