ISO3,FIPS,ISO2,UN,NAME,AREA,POP2005,REGION,SUBREGION,LON,LAT,country,ln_maddison_pcgdp2000,ln_export_area,ln_export_pop,colony0,colony1,colony2,colony3,colony4,colony5,colony6,colony7,abs_latitude,longitude,rain_min,humid_max,low_temp,ln_coastline_area,island_dum,islam,legor_fr,legor_uk,region_n,region_s,region_w,region_e,region_c,ln_avg_gold_pop,ln_avg_oil_pop,ln_avg_all_diamonds_pop,ln_pop_dens_1400,atlantic_distance_minimum,indian_distance_minimum,saharan_distance_minimum,red_sea_distance_minimum,ethnic_fractionalization,state_dev,land_area,geometry
AGO,AO,AO,24,Angola,124670,16095214,2,17,17.544,-12.296,Angola,6.670766353607178,7.967493534088135,14.399250030517578,0,0,0,1,0,0,0,0,8,17.541419982910156,0,78,14,0.2468600571155548,0,0,1,0,0,0,0,0,1,-6.614334583282471,0.6431259512901306,-1.701395869255066,-0.024916954338550568,5.668759822845459,6.9805707931518555,4.925892353057861,3.8723535537719727,0.7867000102996826,0.6349999904632568,1.25,"list(list(c(1558194.51292782, 1845646.149398, 1885937.80560775, 1961913.23917211, 2156598.77486461, 2175065.96089831, 2296492.97473183, 2287472.55609386, 2424868.11443647, 2425713.59289933, 2483785.35118852, 2477291.60098554, 2670132.45639543, 2673956.00641031, 2448843.43765843, 2449045.57113323, 2613348.66203284, 2592043.53899898, 2321475.14347637, 2105701.05633014, 2054016.03640433, 1557718.05545151, 1465026.26845134, 1308313.7991106, 1315889.13326382, 1314776.12520195, 1305932.36102936, 1392575.85584139, 
1535374.23813329, 1533271.37055513, 1445421.86929682, 1490722.69876019, 1363107.25818667, 1467066.28780624, 1558194.51292782, -652198.107986916, -658042.048485524, -803462.234894801, -904487.988699188, -893026.567603188, -780802.50827039, -771524.41771874, -813001.003897555, -812689.77278296, -1051756.09667729, -1160109.02896592, -1255898.48771907, -1217419.84657517, -1460462.28011567, -1460208.40944798, -1824610.68950207, -1993799.32686656, -1998082.55911281, -2039467.25992032, -2015970.89480261, 
-1966251.78045996, -1970231.24434157, -1915328.79801583, -1950509.40896743, -1863053.62857708, -1803918.77098265, -1786972.87798346, -1508361.59390839, -1322007.9845927, -1196372.35260601, -1015884.30293714, -937013.777661912, -680117.594774368, -653061.676393177, -652198.107986916)), list(c(1457048.36594915, 1398791.03554129, 1394462.15183941, 1359717.70063238, 1338742.95542077, 1422557.00623578, 1457326.93645223, 1457048.36594915, -519600.955819264, -560160.910899445, -638274.007804492, -643240.192835619, 
-558980.952700225, -489058.703520677, -516312.266879132, -519600.955819264)), list(c(1308096.8028803, 1301726.62587304, 1310786.96162578, 1308096.8028803, -1892356.63837357, -1866827.4148521, -1898105.74922849, -1892356.63837357)))"
BDI,BY,BI,108,Burundi,2568,7858791,2,14,29.887,-3.356,Burundi,6.3543701171875,1.1408426761627197,4.451657772064209,0,0,0,0,1,0,0,0,16,29.88722038269043,5,82,17,-4.605170249938965,0,1,1,0,0,0,0,1,0,-2.633922815322876,-9.21034049987793,-6.907755374908447,3.036856174468994,10.626214027404785,2.570375442504883,3.7187416553497314,2.2153236865997314,0.29510000348091125,0.9950000047683716,0.027800000000000002,"list(list(c(3253857.24997984, 3230985.99267942, 3322979.19535657, 3334265.98984759, 3403407.52745472, 3386060.6112044, 3433500.74803985, 3432536.38729112, 3342491.05306385, 3275451.89535984, 3253857.24997984, -417853.98819407, -305657.983548516, -307329.704203055, -257155.883860608, -267152.129982423, -318722.825285038, -331747.313535494, -362756.873533714, -475712.77745424, -495653.456364384, -417853.98819407)))"
BEN,BN,BJ,204,Benin,11062,8490301,2,11,2.469,10.541,Benin,7.187657356262207,8.304137229919434,13.30897045135498,0,0,1,0,0,0,0,0,6,2.342639923095703,13,78,18,0.06840275228023529,0,13,1,0,0,0,1,0,0,-13.815510749816895,-3.53155517578125,-6.907755374908447,1.2141958475112915,5.120651721954346,9.23396110534668,2.834785223007202,3.901736259460449,0.7871999740600586,0.6949999928474426,0.113,"list(list(c(276564.146677647, 182052.340521285, 155684.983293006, 150837.910024888, 86458.1749559429, 102187.952963507, 159774.416106789, 224277.827130006, 266935.789960459, 264723.760358913, 315993.732955601, 401246.540465234, 429136.637008078, 344533.824005188, 310519.485676359, 302745.155078338, 276564.146677647, 707264.695542602, 693628.054693378, 1054503.2272889, 1118356.10605659, 1161491.97454934, 1231698.44010239, 1284187.08231692, 1280054.27192572, 1333892.10734411, 1373065.41027455, 1390884.24895981, 
1310820.6949357, 1185077.1218741, 1016228.53628971, 1010967.85262299, 710067.00680931, 707264.695542602)))"
BFA,UV,BF,854,Burkina Faso,27360,13933363,2,11,-1.74,12.278,Burkina Faso,6.748759746551514,6.413822174072266,11.724286079406738,0,0,1,0,0,0,0,0,12,-1.7429200410842896,0,67,9,-4.605170249938965,0,42,1,0,0,0,1,0,0,-2.164328098297119,-9.21034049987793,-6.907755374908447,0.9085654020309448,4.774938106536865,9.299419403076172,2.763519287109375,4.239375114440918,0.7376999855041504,0.33799999952316284,0.274,"list(list(c(-315484.780243695, -298955.283014279, -404491.726260835, -523696.421864958, -614466.891255247, -586993.908844412, -491753.850579278, -482817.455816867, -441298.625335709, -382680.230512765, -362623.241259085, -320507.404348793, -275484.792894913, -223412.0954501, -220505.432226005, -80737.5776435642, 26165.4236719812, 67039.0463845081, 143079.609433541, 110391.865476491, 110113.566749508, 175699.225862225, 238502.009024596, 266935.789960459, 224277.827130006, 159774.416106789, 102187.952963507, 
-16671.429580177, -68832.5147006748, -315484.780243695, 1232334.40254032, 1060362.09780465, 1113740.71898796, 1084774.776456, 1168238.36658877, 1327946.86533746, 1379964.18805854, 1473635.74531129, 1517352.91742721, 1478760.68769724, 1539438.50290363, 1534728.50845343, 1607221.23024138, 1595768.55740515, 1628737.11931591, 1698741.74257273, 1679413.97068424, 1540266.11070231, 1499742.50208363, 1502226.36475783, 1465127.7883888, 1417491.71350668, 1424844.40997587, 1333892.10734411, 1280054.27192572, 
1284187.08231692, 1231698.44010239, 1247821.36539203, 1222090.84255924, 1232334.40254032)))"
BWA,BC,BW,72,Botswana,56673,1835938,2,18,23.815,-22.182,Botswana,8.377470970153809,-2.3025851249694824,3.9120230674743652,0,1,0,0,0,0,0,0,24,23.820419311523438,0,74,-4,-4.605170249938965,0,0,0,1,0,1,0,0,0,-3.705089569091797,-9.21034049987793,2.186849355697632,-2.0750293731689453,5.68633508682251,5.764575481414795,5.856533050537109,4.299600124359131,0.41019999980926514,0.8930000066757202,0.6,"list(list(c(3001083.30299912, 2988402.45452489, 2879989.62695572, 2839729.04067899, 2747053.33820377, 2561999.37893275, 2518582.21717509, 2411984.00862533, 2297912.36606117, 2316712.89222227, 2226494.67882581, 2226018.67668317, 2336812.40552143, 2336961.90759756, 2593422.1995159, 2628874.11774884, 2712020.98313164, 2812423.5941018, 2912798.15256028, 3030116.20543443, 3037625.37300539, 3085015.41606997, 3118708.04107041, 3235006.18476992, 3269856.7551136, 3150155.90853901, 3001083.30299912, -2723226.33877963, 
-2785665.27472456, -2844388.0668781, -2959227.03985377, -2977771.78876776, -2912604.23035367, -3012905.32067594, -3106546.12706351, -3102005.9935413, -2984638.64399448, -2846957.67459008, -2512125.67518753, -2511158.80975266, -2074852.57650712, -2037074.38777879, -2094403.93125466, -2031534.54526734, -2014415.17823092, -2217172.97388834, -2283893.3091121, -2331759.4341944, -2333122.24440357, -2459510.95456586, -2487296.88338245, -2534642.08184149, -2584855.69175612, -2723226.33877963)))"
CAF,CT,CF,140,Central African Republic,62298,4191429,2,17,20.483,6.571,Central African Republic,6.472346305847168,1.1713142395019531,8.052058219909668,0,0,1,0,0,0,0,0,4,20.480579376220703,5,72,14,-4.605170249938965,0,8,1,0,0,0,0,0,1,-3.3160462379455566,-9.21034049987793,-1.849576473236084,-0.4739045202732086,5.642055988311768,8.772294998168945,2.8400840759277344,2.2931673526763916,0.8295000195503235,0.14399999380111694,0.623,"list(list(c(2121615.02057492, 2113833.34289051, 2267763.48573065, 2417364.30225435, 2417797.44639302, 2545487.69282185, 2634839.61794096, 2617986.84891028, 2694055.3531515, 2693096.44705781, 2811187.8364345, 2806024.17053458, 2939391.0430769, 2943008.59256922, 3021520.0030359, 3056307.34390878, 2882247.07490952, 2843347.03544927, 2753425.71113474, 2715546.0261271, 2607133.30987742, 2548752.35952834, 2491237.36349816, 2291573.16633846, 2161978.91133911, 2064079.65307791, 2073320.84060611, 1945338.93711141, 
1854551.65847801, 1804179.70021355, 1792583.77149659, 1640045.23361086, 1605134.32810319, 1725341.67836087, 2069305.32393422, 2121615.02057492, 958528.961673027, 1001982.62890569, 1018232.68440277, 1151748.09503307, 1191243.37890604, 1223313.21127711, 1103852.70591733, 973818.240691607, 970752.398424035, 927606.485932407, 876667.17618556, 837009.920713286, 741537.457980752, 677847.46807677, 643619.410856879, 559136.552572053, 578819.205343414, 599936.191197655, 547341.878943146, 570219.065703521, 
511627.831961977, 537318.054511383, 459869.122010816, 491404.393003085, 572299.148091968, 483093.019265322, 387568.2238194, 413625.009611127, 393578.371165822, 247283.926484398, 322778.642151536, 515195.460301824, 673089.833850973, 840278.483965705, 897991.653240888, 958528.961673027)))"
CIV,IV,CI,384,Cote d'Ivoire,31800,18584701,2,11,-5.556,7.632,Ivory Coast,7.189922332763672,5.096793174743652,10.843698501586914,0,0,1,0,0,0,0,0,6,-5.5555500984191895,41,82,15,0.46961531043052673,0,20,1,0,0,0,1,0,0,-2.972710609436035,-3.2708921432495117,-4.228216171264648,0.4721229374408722,4.185695648193359,9.457084655761719,3.3530735969543457,4.793966293334961,0.8203999996185303,0.0820000022649765,0.322,"list(list(c(-532917.349245836, -592188.85552126, -556923.508754898, -837723.918654675, -826361.760868396, -958058.284451363, -924879.510220442, -942848.145826839, -884637.959576625, -912603.53073422, -851208.493852428, -885855.794805908, -860809.020696922, -906542.741057985, -887659.838473705, -849986.205843513, -777906.835554877, -695012.331457703, -680316.71151961, -614466.891255247, -523696.421864958, -404491.726260835, -298955.283014279, -276938.180166698, -361695.615942296, -307736.609726007, 
-325957.717937519, -349821.499817848, -367045.185391854, -445741.94281072, -423879.908013822, -532917.349245836, 576115.677796774, 583104.241448181, 571748.246156949, 485018.924894114, 651172.217836054, 726009.382177382, 765576.184066328, 844176.793648424, 895544.009915552, 949330.447223795, 936022.879272036, 984987.642469386, 1015946.69861491, 1066239.35121406, 1137614.90614211, 1169603.48891029, 1135566.5895781, 1202097.39968605, 1141252.89955747, 1168238.36658877, 1084774.776456, 1113740.71898796, 
1060362.09780465, 915701.992847195, 737615.053245639, 622053.733634431, 568505.398660546, 598414.219108657, 570498.477902218, 585650.527073732, 599283.881333491, 576115.677796774)), list(c(-532917.349245836, -461573.912110824, -445772.778309661, -532917.349245836, 576115.677796774, 588290.029574216, 583197.470218299, 576115.677796774)), list(c(-345343.339342224, -345428.944030646, -352697.327543005, -345343.339342224, 569547.363242476, 566806.636538949, 570405.377636338, 569547.363242476)))"
CMR,CM,CM,120,Cameroon,46540,17795149,2,17,12.277,5.133,Cameroon,7.0166096687316895,4.94492769241333,10.331063270568848,0,0,1,0,0,0,0,0,4,12.74131965637207,23,75,14,-0.16686269640922546,0,22,1,0,0,0,0,0,1,-4.2964887619018555,-0.8711615800857544,-6.907755374908447,1.0207042694091797,5.642055988311768,8.772294998168945,3.0025477409362793,3.0510311126708984,0.8634999990463257,0.3160000145435333,0.475,"list(list(c(1622728.81890102, 1674534.23824843, 1676656.98961837, 1745695.55669651, 1580154.45700816, 1553741.68142764, 1692272.66514787, 1725341.67836087, 1605134.32810319, 1640045.23361086, 1792583.77149659, 1804179.70021355, 1789151.34631748, 1621368.27208454, 1479868.84282282, 1394121.99941305, 1262336.7541959, 1116101.45983736, 1092240.57226379, 1082303.74923761, 999185.047685986, 984713.625202345, 946679.428741489, 956427.899189234, 986878.010061832, 1090436.19463752, 1181656.39477061, 1262393.86109467, 
1320712.91780688, 1364096.46107833, 1424549.28979005, 1537012.69967071, 1630428.34280123, 1630304.77816645, 1577891.88835778, 1566790.66345791, 1614230.02105691, 1622728.81890102, 1429884.57651961, 1354687.68724663, 1208300.47954967, 1117719.94984592, 1116827.11163794, 1078062.15725173, 948111.0452958, 840278.483965705, 673089.833850973, 515195.460301824, 322778.642151536, 247283.926484398, 184166.502812299, 241559.12795074, 240909.336871968, 254246.773050023, 241466.332328867, 241404.505742403, 
260972.056197643, 430607.525579014, 456427.837832779, 516870.720772676, 504555.364050215, 536180.91866588, 651451.96883914, 758942.650553708, 788877.769316979, 718505.121077411, 790685.116984574, 939357.885717248, 980075.284026506, 1238438.92023655, 1297472.8616797, 1367149.33144074, 1390885.16077489, 1469063.84484922, 1459882.39369093, 1429884.57651961)), list(c(1078376.62024141, 1071573.66352004, 1073398.18997415, 1078376.62024141, 398194.651755219, 395561.197191047, 398628.418137843, 398194.651755219
)))"
COD,CG,CD,180,Democratic Republic of the Congo,226705,58740547,2,17,23.654,-2.876,Democratic Republic of Congo,5.384495258331299,5.787437915802002,11.768935203552246,0,0,0,0,1,0,0,0,7,23.65134048461914,3,73,14,-4.151252746582031,0,1,1,0,0,0,0,0,1,-2.2952423095703125,-3.441502809524536,-0.6839800477027893,0.42534229159355164,5.712496757507324,7.64304780960083,3.74774169921875,2.6869990825653076,0.8747000098228455,0.6489999890327454,2.35,"list(list(c(2882247.33313758, 3056307.61069779, 3157360.75929205, 3299880.57108086, 3435188.12460081, 3420817.11398289, 3484609.33453891, 3335193.6288483, 3294716.82517004, 3213608.22050617, 3230986.17888681, 3253857.4117002, 3275452.14614124, 3289522.07979775, 3425439.0062932, 3217318.81357926, 3158381.19361966, 3194838.25891043, 3157391.75875353, 3231759.46682296, 3283213.90171344, 3317883.18984265, 3317475.5256918, 3293881.96296111, 3230027.74348214, 3166142.94919186, 3079097.31068102, 3027806.79075119, 
2991000.2383811, 2894832.26519457, 2823031.56732505, 2819970.26434223, 2721575.85038182, 2670132.45639543, 2477291.60098554, 2483785.35118852, 2425713.59289933, 2424868.11443647, 2287472.55609386, 2296492.97473183, 2175065.96089831, 2156598.77486461, 1961913.23917211, 1885937.80560775, 1845646.149398, 1558194.51292782, 1467066.28780624, 1384350.80694775, 1359717.70063238, 1394462.15183941, 1398791.03554129, 1457048.36594915, 1457326.93645223, 1493227.285387, 1528354.77103576, 1603093.62334254, 1605103.49253628, 
1632098.50302566, 1768922.90690691, 1806375.35216602, 1802911.90548439, 1972024.58406377, 2013985.96469139, 2073321.05719807, 2064079.82047839, 2161979.09235557, 2291573.40266136, 2491237.53679617, 2548752.57872935, 2607133.48233294, 2715546.24280059, 2753425.88611778, 2843347.25549278, 2882247.33313758, 578819.223313604, 559136.758947553, 478007.774517607, 517491.560705981, 389124.105091032, 272599.432176113, 236205.960579582, 91903.6315013109, -154285.350574128, -266625.85329315, -305658.02437536, 
-417853.90018109, -495653.37455798, -702201.474333448, -915080.089079546, -947298.531193573, -1035429.58287809, -1192816.65139348, -1294632.52171621, -1389334.0488231, -1397883.18734101, -1363381.59716572, -1511668.0160549, -1485100.3534549, -1505214.46628104, -1404914.23887597, -1379489.77709457, -1296572.17195259, -1342705.41194039, -1334614.29934556, -1304954.77373135, -1254038.76282823, -1284723.72368778, -1217419.84657517, -1255898.48771907, -1160109.02896592, -1051756.09667729, -812689.77278296, 
-813001.003897555, -771524.41771874, -780802.50827039, -893026.567603188, -904487.988699188, -803462.234894801, -658042.048485524, -652198.107986916, -653061.676393177, -671006.601616996, -643240.192835619, -638274.007804492, -560160.910899445, -519600.955819264, -516312.266879132, -544176.38792224, -495405.268934151, -476612.084564828, -544704.021270558, -547186.888754683, -439280.564359024, -370716.879185771, -242270.831790535, -59804.1455899491, 247655.543076761, 387568.280003966, 483092.921349556, 
572299.441469111, 491404.588922191, 459869.181616435, 537318.130374313, 511628.070599716, 570219.257594383, 547342.030757408, 599936.473553754, 578819.223313604), c(1441927.42315371, 1429806.20906831, 1417901.1419129, 1441927.42315371, -655275.505394909, -652415.599747156, -662829.627371119, -655275.505394909)))"
COG,CF,CG,178,Congo,34150,3609851,2,17,15.986,-0.055,Congo,7.702556133270264,5.62326717376709,12.391067504882812,0,0,1,0,0,0,0,0,4,15.226300239562988,0,71,12,-0.7049120664596558,0,1,1,0,0,0,0,0,1,-3.9675614833831787,1.0008784532546997,-6.907755374908447,-0.3609614372253418,5.527229309082031,7.92352819442749,3.6973631381988525,3.2270069122314453,0.8747000098228455,0.5360000133514404,0.342,"list(list(c(1422557.00486331, 1338742.77913321, 1240172.70962049, 1279833.95175878, 1327577.65684562, 1288430.15415733, 1389050.61737098, 1408191.55853491, 1447321.13878519, 1500895.87011927, 1532003.322585, 1570810.63290944, 1606309.30532851, 1616204.27222614, 1541589.15525672, 1612710.06472963, 1579499.89840229, 1467946.19140039, 1479868.84282282, 1621368.27208454, 1789151.34631748, 1804179.70021355, 1854551.65847801, 1945338.93711141, 2073320.84060611, 2013985.77090145, 1972024.33412488, 1802911.65989392, 
1806375.14321098, 1768922.92504798, 1632098.24648261, 1605103.26996526, 1603093.39655897, 1528354.60363528, 1493227.07039852, 1457326.75725667, 1422557.00486331, -489058.770260767, -558981.111945542, -437302.049157999, -390635.319698711, -405135.024419296, -259817.267956946, -259136.431529528, -202913.992535985, -263643.086924979, -271423.143955123, -232585.590395556, -277613.339027339, -210617.674429562, -67813.4378515109, -22109.3196637238, 101707.021392389, 154903.940926372, 136095.732136818, 
240909.336871968, 241559.12795074, 184166.502812299, 247283.926484398, 393578.371165822, 413625.009611127, 387568.2238194, 247655.233657574, -59804.1557684092, -242270.971217073, -370716.890224906, -439280.628759328, -547186.910099471, -544703.988865739, -476612.06753137, -495405.357568847, -544176.533742874, -516312.408352435, -489058.770260767)))"
